credit_score,credit_utilization,total_credit_limit,total_balance,total_monthly_debt_payments,total_open_accounts,credit_history_years,delinquencies_24m,derogatory_marks_any,recent_inquiries_6m,postal_code,residence_type,months_lived,monthly_housing_cost,area_median_income_annual,crime_index,marital_status,dependents_count,dependents_expense_monthly,employment_status,employment_duration_years,title,annual_income,monthly_income,purchase_amount,term_months,loan_status,DTI,PTI,HCR,ResidualMonthlyIncome,CreditVelocity
692.0,0.978,5800.613496932516,5673.0,681.9123999999999,6.0,29.0,0,False,0.0,750xx,mortgage,103,994.9255061231968,,,single,1,419.3700315892974,full_time,1.0,Wylie ISD,44304.0,3692.0,2000.0,6,1,0.1846999999999999,0.0902853015529071,0.2694814480290349,2015.1620938768028,0.2068965517241379
737.0,0.362,38870.16574585635,14071.0,1234.1666666666667,13.0,25.0,0,False,1.0,760xx,rent,22,1065.1714912612915,,,married,2,600.3115063364057,full_time,1.0,Designer,50000.0,4166.666666666667,1791.6666666666663,3,0,0.2962,0.1433333333333333,0.25564115790271,1867.3285087387085,0.52
677.0,0.575,14012.17391304348,8057.0,895.1600000000001,9.0,41.0,3,False,0.0,029xx,rent,33,1504.9433370549518,,,single,0,0.0,part_time,,,64400.0,5366.666666666667,3333.333333333333,12,0,0.1668,0.05175983436853,0.2804242242959537,2966.5633296117153,0.2195121951219512
662.0,0.5579999999999999,22698.924731182797,12666.0,1082.1708333333331,7.0,16.0,0,False,1.0,319xx,rent,51,924.7898888648816,,,divorced,0,0.0,full_time,10.0,Meat and produce unloader,38500.0,3208.3333333333335,3230.0,12,1,0.3373,0.0838961038961039,0.2882461991267163,1201.3726111351189,0.4375
667.0,0.741,142516.86909581645,105605.0,2621.566666666667,31.0,28.0,0,False,1.0,919xx,mortgage,8,1525.7230686449473,,,divorced,0,0.0,full_time,9.0,Business Manaer,118000.0,9833.333333333334,5833.333333333333,6,0,0.2666,0.0988700564971751,0.1551582781672827,5686.043598021719,1.1071428571428572
727.0,0.976,18205.94262295082,17769.0,741.0333333333333,11.0,26.0,0,False,0.0,315xx,mortgage,6,649.2686437916515,,,single,0,0.0,full_time,5.0,Glynn County Board of Education,43000.0,3583.3333333333335,1554.1666666666663,6,0,0.2067999999999999,0.0722868217054263,0.1811912494302283,2193.031356208349,0.4230769230769231
687.0,0.41,31409.756097560978,12878.0,1096.2999999999995,24.0,30.0,0,True,0.0,600xx,rent,62,1789.3758761500674,,,single,0,0.0,full_time,3.0,Assistant Principal,76000.0,6333.333333333333,1666.6666666666663,6,0,0.1730999999999999,0.043859649122807,0.2825330330763264,3447.6574571832653,0.8
702.0,0.773,43900.38809831824,33935.0,1396.25,11.0,22.0,0,False,1.0,021xx,rent,89,1738.084068554613,,,single,0,0.0,full_time,3.0,Process Engineer,75000.0,6250.0,833.3333333333333,3,0,0.2234,0.0444444444444444,0.278093450968738,3115.6659314453873,0.5
737.0,0.3779999999999999,34084.65608465609,12884.0,1726.4,20.0,28.0,0,False,1.0,925xx,mortgage,89,3874.429526371008,,,married,0,0.0,full_time,9.0,Executive Operations Logistics Mgmt,156000.0,13000.0,6666.666666666666,12,0,0.1328,0.0427350427350427,0.2980330404900775,7399.170473628992,0.7142857142857143
662.0,0.937,12794.0234791889,11988.0,855.0,12.0,30.0,0,True,1.0,550xx,mortgage,41,1292.597780992052,,,married,0,0.0,full_time,10.0,Financial Worker,54000.0,4500.0,4000.0,12,1,0.19,0.074074074074074,0.2872439513315671,2352.402219007948,0.4
667.0,0.748,21889.03743315508,16373.0,1008.3333333333331,14.0,42.0,0,False,1.0,802xx,rent,65,1321.3414842621537,,,divorced,1,444.34590423297465,full_time,4.0,Web Designer,55000.0,4583.333333333333,4080.0,12,0,0.22,0.0741818181818181,0.2882926874753789,2253.6585157378468,0.3333333333333333
707.0,0.652,1599.6932515337423,1043.0,528.8599999999999,4.0,24.0,0,False,0.0,622xx,rent,77,837.5329527239729,,,married,0,0.0,full_time,7.0,NextGen,37200.0,3100.0,1250.0,6,0,0.1705999999999999,0.0672043010752688,0.2701719202335396,1733.6070472760275,0.1666666666666666
672.0,0.8420000000000001,18807.60095011876,15836.0,740.0000000000001,11.0,38.0,0,False,0.0,328xx,mortgage,119,1185.0570624521831,,,single,0,0.0,full_time,10.0,Performer,50000.0,4166.666666666667,833.3333333333333,6,1,0.1776,0.0333333333333333,0.284413694988524,2241.6096042144836,0.2894736842105263
687.0,0.108,54944.44444444444,5934.0,1603.3333333333333,15.0,33.0,0,True,1.0,913xx,mortgage,37,2115.545041112838,,,single,0,0.0,full_time,10.0,manager,100000.0,8333.333333333334,1400.0,3,0,0.1924,0.056,0.2538654049335405,4614.454958887163,0.4545454545454545
662.0,0.82,18491.46341463415,15163.0,1304.2666666666669,17.0,17.0,0,False,0.0,021xx,rent,3,1703.867638471868,,,single,0,0.0,part_time,0.5,Consultant,73000.0,6083.333333333333,1920.0,6,0,0.2144,0.0526027397260274,0.2800878309816769,3075.1990281947983,1.0
727.0,0.239,28656.90376569038,6849.0,1045.3333333333333,10.0,26.0,1,False,1.0,856xx,mortgage,53,1489.452760277563,,,divorced,0,0.0,full_time,8.0,Associate Director Of Clinical Operation,80000.0,6666.666666666667,8333.333333333332,12,0,0.1568,0.1041666666666666,0.2234179140416344,4131.880573055771,0.3846153846153846
667.0,0.466,17912.017167381975,8347.0,227.6,5.0,12.0,0,False,1.0,940xx,rent,56,1095.0550175969595,,,married,0,0.0,full_time,3.0,Business Manager,48000.0,4000.0,1333.3333333333333,6,0,0.0569,0.0555555555555555,0.2737637543992399,2677.3449824030404,0.4166666666666667
697.0,0.898,58528.95322939866,52559.0,1699.0,6.0,31.0,0,False,0.0,330xx,own,86,,,,single,0,0.0,part_time,,,60000.0,5000.0,7041.666666666666,12,1,0.3398,0.1173611111111111,,,0.1935483870967742
682.0,0.396,5194.444444444444,2057.0,570.9,17.0,23.0,3,True,0.0,604xx,rent,67,910.1127876884216,,,single,0,0.0,full_time,3.0,Customer Service Advocate ,33000.0,2750.0,2000.0,12,0,0.2075999999999999,0.0606060606060606,0.3309501046139715,1268.9872123115783,0.7391304347826086
672.0,0.861,8699.18699186992,7490.0,550.3166666666667,4.0,18.0,0,True,0.0,923xx,rent,94,2822.942886088156,,,single,0,0.0,full_time,5.0,Golden State Water Company,106000.0,8833.333333333334,483.3333333333333,3,0,0.0623,0.0182389937106918,0.3195784399345082,5460.07378057851,0.2222222222222222
712.0,0.421,10007.12589073634,4213.0,670.1333333333334,6.0,23.0,0,True,0.0,070xx,rent,9,1296.8066312096848,,,married,1,471.2648583756185,full_time,10.0,Perinatal Prevention Specialist,56000.0,4666.666666666667,2500.0,6,0,0.1436,0.0892857142857142,0.2778871352592181,2699.726702123649,0.2608695652173913
687.0,0.303,33013.201320132015,10003.0,355.82574999999997,9.0,18.0,0,False,0.0,951xx,rent,110,999.832246222772,,,married,1,344.853861892112,full_time,2.0,assembler,39354.0,3279.5,566.6666666666666,3,1,0.1084999999999999,0.0575968558892785,0.3048733789366586,1923.842003777228,0.5
727.0,0.346,44540.46242774566,15411.0,1153.11,13.0,33.0,1,False,0.0,337xx,mortgage,67,1479.4195063780562,,,single,0,0.0,full_time,10.0,Eng. Specialist,71400.0,5950.0,7140.0,12,0,0.1937999999999999,0.1,0.2486419338450514,3317.470493621944,0.3939393939393939
667.0,0.6,4788.333333333334,2873.0,1238.8833333333332,6.0,29.0,1,False,2.0,782xx,mortgage,22,1127.676611723139,,,divorced,0,0.0,full_time,9.0,armed security,72520.0,6043.333333333333,2658.333333333333,12,1,0.205,0.0366565545136973,0.1865984465068625,3676.7733882768607,0.2068965517241379
667.0,0.6409999999999999,43219.96879875196,27704.0,2731.0,28.0,34.0,0,False,3.0,400xx,mortgage,27,2692.2169553124727,,,single,0,0.0,full_time,10.0,Sales Executive,120000.0,10000.0,2916.6666666666665,3,1,0.2731,0.0972222222222222,0.2692216955312472,4576.783044687527,0.8235294117647058
802.0,0.051,19137.254901960787,976.0,1371.9,10.0,31.0,0,False,0.0,900xx,mortgage,61,1911.471559353059,,,single,1,308.72075435088675,full_time,6.0,Paramount Pictures,102000.0,8500.0,1479.1666666666663,6,0,0.1614,0.0290032679738562,0.2248790069827128,5216.628440646941,0.3225806451612903
697.0,0.5720000000000001,30024.47552447552,17174.0,848.6875,21.0,19.0,0,False,0.0,276xx,mortgage,93,1467.4957669981577,,,married,1,490.61436940479064,full_time,6.0,Director of Finance and Operations,91750.0,7645.833333333333,2916.6666666666665,3,0,0.111,0.1271571298819255,0.1919340512695138,5329.650066335175,1.105263157894737
707.0,0.75,30940.0,23205.0,1625.0083333333334,12.0,28.0,0,False,1.0,775xx,mortgage,95,2512.7404042395997,,,divorced,0,0.0,full_time,5.0,IT Sourcing Specialist III,109000.0,9083.333333333334,8000.0,12,0,0.1789,0.073394495412844,0.2766319711089467,4945.5845957604015,0.4285714285714285
752.0,0.012,53333.333333333336,640.0,28.183333333333337,7.0,21.0,0,False,2.0,900xx,rent,86,2120.1630294613215,,,single,0,0.0,full_time,10.0,regional director,89000.0,7416.666666666667,2083.333333333333,3,1,0.0038,0.0936329588014981,0.2858646781296163,5268.320303872012,0.3333333333333333
697.0,0.75,85941.33333333333,64456.0,4442.576416666667,27.0,41.0,0,False,2.0,731xx,mortgage,15,2328.346095212185,,,single,0,0.0,full_time,10.0,Pharmacis,135410.0,11284.166666666666,1750.0,3,1,0.3937,0.0516948526696698,0.2063374428959916,4513.244154787814,0.6585365853658537
682.0,0.609,29724.13793103448,18102.0,815.4499999999999,12.0,24.0,0,False,0.0,104xx,rent,58,1191.702481927134,,,single,0,0.0,full_time,5.0,Senior Case Specialist,47000.0,3916.6666666666665,933.3333333333331,6,0,0.2082,0.0397163120567375,0.3042644634707576,1909.5141847395328,0.5
662.0,0.3829999999999999,15618.79895561358,5982.0,197.03333333333333,8.0,25.0,0,False,0.0,919xx,rent,103,495.52493079047224,,,single,0,0.0,full_time,5.0,village club,23000.0,1916.6666666666667,1666.6666666666663,12,0,0.1027999999999999,0.072463768115942,0.2585347464993768,1224.1084025428613,0.32
692.0,0.769,7897.269180754226,6073.0,1419.2,6.0,20.0,0,True,0.0,760xx,rent,63,1564.5443933763956,,,married,0,0.0,full_time,8.0,Teacher,64000.0,5333.333333333333,1200.0,6,1,0.2661,0.0375,0.2933520737580742,2349.588939956938,0.3
732.0,0.281,4295.373665480427,1207.0,212.95890000000003,5.0,22.0,0,False,3.0,711xx,mortgage,23,346.43767589672314,,,married,0,0.0,part_time,0.5,,19404.0,1617.0,2000.0,12,0,0.1317,0.1030715316429602,0.2142471712410161,1057.603424103277,0.2272727272727272
707.0,0.475,58027.36842105263,27563.0,718.2,10.0,35.0,0,False,0.0,995xx,mortgage,34,836.8564674312472,,,single,0,0.0,full_time,10.0,Accounting Tech II ,54000.0,4500.0,1020.0,3,1,0.1596,0.0755555555555555,0.1859681038736104,2944.9435325687527,0.2857142857142857
